 ,,,,
,,,,
Sur1,,,,
eV,Point 1,Point 2,Point 3,Point 4
71,520150,420150,684100,664050
71.5,512650,421650,682500,665500
72,517000,425050,689950,665200
72.5,522750,422650,695450,658800
73,514950,424900,683600,655200
73.5,519450,423350,686600,660150
74,508150,419400,685950,664200
74.5,515350,421050,680950,652800
75,522700,415550,683450,659700
75.5,510100,430000,690650,658250
76,509350,426200,679900,664100
76.5,508650,417850,679900,655450
77,508350,421000,696900,658900
77.5,508850,419400,686100,664800
78,507550,424300,685300,651900
78.5,510300,425500,696550,659500
79,509600,419050,698050,663200
79.5,513600,421000,693400,666050
80,512200,418250,697900,661650
80.5,518050,415850,698400,650700
81,520250,417400,694050,657300
81.5,520000,415050,693700,665850
82,511400,413950,697000,658750
82.5,512100,411950,706900,657100
83,508700,415300,694600,672100
83.5,512400,426150,693800,660100
84,515450,430500,699700,655400
84.5,512400,428800,695250,654700
85,506750,426400,695700,653550
85.5,506800,423500,695600,650100
86,517300,423700,706000,655150
86.5,513700,423850,699800,659550
87,507450,428200,705100,659900
87.5,504850,423500,713700,667950
88,511250,418600,708150,669250
88.5,513250,414800,710300,671600
89,510400,419700,704850,667100
89.5,515100,424150,708400,677450
90,508000,418900,703000,671600
90.5,511200,408150,708300,674100
91,514250,408200,698900,674950
91.5,515900,418950,707200,681450
92,525150,418650,719000,675250
92.5,523400,421500,705900,686550
93,515950,422100,708700,674650
93.5,516750,420000,703350,678500
94,516250,425000,712950,670750
94.5,520750,419850,705600,672850
95,519250,426050,707100,676400
95.5,523100,421850,711400,674100
96,521900,421650,708550,675750
96.5,519950,420450,710700,679050
97,518000,416550,722450,687150
97.5,517050,414500,727250,687100
98,519350,416000,722850,679550
98.5,519050,420850,722000,678250
99,515300,413500,723450,685750
99.5,520950,405900,722750,685150
100,522000,405350,723600,688350
100.5,524850,406250,731250,689550
101,527650,408800,726800,688150
101.5,518150,406450,722350,680600
102,520500,404050,718900,690350
102.5,524300,404100,726800,688250
103,526000,406600,729000,684000
103.5,523400,400350,731550,690150
104,521750,399400,722950,699150
104.5,528400,392350,721350,693750
105,523300,386500,730450,692800
105.5,529650,388300,730900,690600
106,521450,396150,731050,694100
106.5,521750,401450,726850,699550
107,519300,406500,718900,702150
107.5,529000,399550,731300,704700
108,531950,399000,734600,696200
108.5,528500,398600,743250,692550
109,525300,397850,738050,693200
109.5,530300,393550,738100,698900
110,525850,390950,738850,697450
110.5,529850,400100,734900,699250
111,525200,402200,731800,698500
111.5,521850,403550,738900,694750
112,522800,402150,747150,701700
112.5,537900,401350,735700,702600
113,535650,395800,735700,709150
113.5,531700,399650,735900,699750
114,532500,405650,735300,702650
114.5,531350,412300,732900,705450
115,534200,406150,727550,699150
